category_education_ar | expected=('offer', None) | doc-expiry= null-or-garbled
date_night_ar | expected=('offer', None) | doc-expiry= null-or-garbled
offer_amani_beauty_ar | expected=('offer', None) | doc-expiry= null-or-garbled
offer_byoot_bay_ar | expected=('offer', None) | doc-expiry= null-or-garbled
offer_course_it_ar | expected=('offer', None) | doc-expiry= null-or-garbled
offer_dentalboss_price_ar | expected=('offer', None) | doc-expiry= null-or-garbled
offer_entertainment_couple_ar | expected=('offer', None) | doc-expiry= null-or-garbled
offer_expiry_check_ar | expected=('offer', 8119) | doc-expiry=2026-11-01 live
offer_gym_kora_ar | expected=('offer', None) | doc-expiry= null-or-garbled
offer_gym_solo_ar | expected=('offer', None) | doc-expiry= null-or-garbled
offer_nail_spa_ar | expected=('offer', None) | doc-expiry= null-or-garbled
offer_spa_ar | expected=('offer', None) | doc-expiry= null-or-garbled
offer_sport_futsal_ar | expected=('offer', None) | doc-expiry= null-or-garbled
offer_wafflicious_en | expected=('offer', None) | doc-expiry= null-or-garbled
offer_zadna_ar | expected=('offer', None) | doc-expiry= null-or-garbled
offer_zero_discount_various_ar | expected=('offer', None) | doc-expiry= null-or-garbled
price_range_over_1000_ar | expected=('offer', None) | doc-expiry= null-or-garbled
same_merchant_eastern_nightstay | expected=('offer', None) | doc-expiry= null-or-garbled
same_merchant_oasis_dayuse | expected=('offer', None) | doc-expiry= null-or-garbled
stock_check_pharaonic_ar | expected=('offer', None) | doc-expiry= null-or-garbled
typo_yaya_ar | expected=('offer', None) | doc-expiry= null-or-garbled
